Name,Username,Password,Role,is_user,is_admin,is_itbl,is_ito
Cecil Joy,UECecilJoy,UECecilJoy123,student,1,0,0,0
Janet Walker,UEJanetWalker,UEJanetWalker123,student,1,0,0,0
Denise Treanor,UEDeniseTreanor,UEDeniseTreanor123,student,1,0,0,0
Heather Mccomas,UEHeatherMccomas,UEHeatherMccomas123,student,1,0,0,0
Jamie Hood,UEJamieHood,UEJamieHood123,student,1,0,0,0
Barbara Pedrick,UEBarbaraPedrick,UEBarbaraPedrick123,student,1,0,0,0
John Hursh,UEJohnHursh,UEJohnHursh123,student,1,0,0,0
Barbara Lowe,UEBarbaraLowe,UEBarbaraLowe123,student,1,0,0,0
Irma Sandifer,UEIrmaSandifer,UEIrmaSandifer123,student,1,0,0,0
Thomas Thompson,UEThomasThompson,UEThomasThompson123,student,1,0,0,0
Joseph Wittkop,UEJosephWittkop,UEJosephWittkop123,student,1,0,0,0
Marvin Lane,UEMarvinLane,UEMarvinLane123,student,1,0,0,0
Jacob Clayton,UEJacobClayton,UEJacobClayton123,student,1,0,0,0
Angela Wiggins,UEAngelaWiggins,UEAngelaWiggins123,student,1,0,0,0
Otha Kramer,UEOthaKramer,UEOthaKramer123,student,1,0,0,0
Gregory Brown,UEGregoryBrown,UEGregoryBrown123,student,1,0,0,0
Jose Bowen,UEJoseBowen,UEJoseBowen123,student,1,0,0,0
Sherry Rubio,UESherryRubio,UESherryRubio123,student,1,0,0,0
Dixie Bruce,UEDixieBruce,UEDixieBruce123,student,1,0,0,0
Katherine Noman,UEKatherineNoman,UEKatherineNoman123,student,1,0,0,0
Marion Gurney,UEMarionGurney,UEMarionGurney123,student,1,0,0,0
Edward Ward,UEEdwardWard,UEEdwardWard123,student,1,0,0,0
Dale Reveal,UEDaleReveal,UEDaleReveal123,student,1,0,0,0
Mark Jones,UEMarkJones,UEMarkJones123,student,1,0,0,0
Jose Dietz,UEJoseDietz,UEJoseDietz123,student,1,0,0,0
Patience Holderby,UEPatienceHolderby,UEPatienceHolderby123,student,1,0,0,0
Verna Ma,UEVernaMa,UEVernaMa123,student,1,0,0,0
Troy Williams,UETroyWilliams,UETroyWilliams123,student,1,0,0,0
Kimberly Roberto,UEKimberlyRoberto,UEKimberlyRoberto123,student,1,0,0,0
Michael Latch,UEMichaelLatch,UEMichaelLatch123,student,1,0,0,0
James Fields,UEJamesFields,UEJamesFields123,student,1,0,0,0
Katie Walker,UEKatieWalker,UEKatieWalker123,student,1,0,0,0
Michael Coy,UEMichaelCoy,UEMichaelCoy123,student,1,0,0,0
David Papitto,UEDavidPapitto,UEDavidPapitto123,student,1,0,0,0
Ronald Lentini,UERonaldLentini,UERonaldLentini123,student,1,0,0,0
Mary Bischoff,UEMaryBischoff,UEMaryBischoff123,student,1,0,0,0
Michael Stroh,UEMichaelStroh,UEMichaelStroh123,student,1,0,0,0
Scott Brown,UEScottBrown,UEScottBrown123,student,1,0,0,0
Jennifer Wilson,UEJenniferWilson,UEJenniferWilson123,student,1,0,0,0
Joseph Chambers,UEJosephChambers,UEJosephChambers123,student,1,0,0,0
Dick Alford,UEDickAlford,UEDickAlford123,student,1,0,0,0
Chase Stakkeland,UEChaseStakkeland,UEChaseStakkeland123,student,1,0,0,0
Nathan Herlocker,UENathanHerlocker,UENathanHerlocker123,student,1,0,0,0
Troy Williams,UETroyWilliams,UETroyWilliams123,student,1,0,0,0
Carlos Gustafson,UECarlosGustafson,UECarlosGustafson123,student,1,0,0,0
Robert Stehle,UERobertStehle,UERobertStehle123,student,1,0,0,0
Stacey Torres,UEStaceyTorres,UEStaceyTorres123,student,1,0,0,0
Paul Seldon,UEPaulSeldon,UEPaulSeldon123,student,1,0,0,0
Yong Bartz,UEYongBartz,UEYongBartz123,student,1,0,0,0
Chris Ramos,UEChrisRamos,UEChrisRamos123,student,1,0,0,0
Brandon Silva,UEBrandonSilva,UEBrandonSilva123,student,1,0,0,0
Charles Bormann,UECharlesBormann,UECharlesBormann123,student,1,0,0,0
Edward Scott,UEEdwardScott,UEEdwardScott123,student,1,0,0,0
Pamela Crockett,UEPamelaCrockett,UEPamelaCrockett123,student,1,0,0,0
Reyna Mcnally,UEReynaMcnally,UEReynaMcnally123,student,1,0,0,0
Theresa Heimann,UETheresaHeimann,UETheresaHeimann123,student,1,0,0,0
Efren Cadena,UEEfrenCadena,UEEfrenCadena123,student,1,0,0,0
Lucille Hayes,UELucilleHayes,UELucilleHayes123,student,1,0,0,0
Margaret Johnson,UEMargaretJohnson,UEMargaretJohnson123,student,1,0,0,0
Amanda Wright,UEAmandaWright,UEAmandaWright123,student,1,0,0,0
Donald Inoue,UEDonaldInoue,UEDonaldInoue123,student,1,0,0,0
Becky Hutchins,UEBeckyHutchins,UEBeckyHutchins123,student,1,0,0,0
Jack Corder,UEJackCorder,UEJackCorder123,student,1,0,0,0
Shannon Adkinson,UEShannonAdkinson,UEShannonAdkinson123,student,1,0,0,0
Ryan Polsgrove,UERyanPolsgrove,UERyanPolsgrove123,student,1,0,0,0
Lisa Perry,UELisaPerry,UELisaPerry123,student,1,0,0,0
Judy Simmons,UEJudySimmons,UEJudySimmons123,student,1,0,0,0
Billy Hamilton,UEBillyHamilton,UEBillyHamilton123,student,1,0,0,0
Judy Addiego,UEJudyAddiego,UEJudyAddiego123,student,1,0,0,0
George Rossi,UEGeorgeRossi,UEGeorgeRossi123,student,1,0,0,0
Constance Cooper,UEConstanceCooper,UEConstanceCooper123,student,1,0,0,0
Darlene Hatfield,UEDarleneHatfield,UEDarleneHatfield123,student,1,0,0,0
Ross Moore,UERossMoore,UERossMoore123,student,1,0,0,0
Lara Sager,UELaraSager,UELaraSager123,student,1,0,0,0
Larry Rodgers,UELarryRodgers,UELarryRodgers123,student,1,0,0,0
Susan Michael,UESusanMichael,UESusanMichael123,student,1,0,0,0
Francisco Speer,UEFranciscoSpeer,UEFranciscoSpeer123,student,1,0,0,0
Chris Shoemaker,UEChrisShoemaker,UEChrisShoemaker123,student,1,0,0,0
Jamie Sabbagh,UEJamieSabbagh,UEJamieSabbagh123,student,1,0,0,0
